StartVert,EndVert
76,109
76,4
76,78
76,110
76,53
76,92
76,184
76,139
76,41
76,86
76,194
76,496
76,112
76,85
76,346
76,170
76,125
76,151
76,156
76,132
76,69
76,181
76,279
76,133
76,165
76,121
76,261
76,325
76,229
76,218
76,119
76,158
76,96
76,95
76,185
76,283
76,202
76,127
76,182
76,336
76,74
76,108
76,70
76,196
76,241
76,341
76,265
76,176
76,223
76,124
76,61
76,106
76,111
76,420
76,201
76,123
76,138
76,231
76,80
76,300
76,150
76,163
76,98
76,60
76,200
76,126
76,190
76,222
76,131
76,195
76,260
76,307
76,183
76,107
76,162
76,88
76,239
76,58
76,30
76,35
76,356
76,306
76,137
76,354
76,169
76,167
76,208
76,143
76,342
76,373
76,68
76,473
76,326
76,448
76,155
76,275
76,189
76,357
76,226
76,159
76,264
76,100
76,140
76,97
76,257
76,369
76,207
76,491
76,247
76,168
76,91
76,212
76,213
76,374
76,409
76,134
76,282
76,188
76,329
76,340
76,269
76,308
76,454
76,259
76,434
76,378
76,339
76,480
76,344
76,217
76,192
76,474
109,4
109,78
109,72
109,184
109,86
109,194
109,180
109,112
109,170
109,174
109,206
109,151
109,51
109,122
109,161
109,244
109,229
109,218
109,119
109,148
109,284
109,283
109,74
109,241
109,166
109,265
109,176
109,61
109,106
109,111
109,129
109,138
109,300
109,98
109,200
109,222
109,195
109,260
109,238
109,204
109,239
109,58
109,146
109,35
109,94
109,330
109,167
109,299
109,103
109,275
109,159
109,281
109,207
109,147
109,247
109,289
109,402
109,175
109,396
109,266
109,374
109,199
109,291
109,160
109,113
109,245
109,447
109,340
109,187
109,277
109,437
109,344
109,446
90,78
90,130
90,53
90,86
90,194
90,363
90,62
90,346
90,116
90,206
90,125
90,37
90,93
90,151
90,132
90,69
90,122
90,133
90,165
90,82
90,119
90,148
90,95
90,284
90,202
90,127
90,105
90,336
90,241
90,157
90,198
90,223
90,61
90,75
90,115
90,459
90,80
90,163
90,463
90,162
90,88
90,58
90,146
90,375
90,102
90,381
90,94
90,57
90,309
90,271
90,457
90,117
90,169
90,208
90,56
90,155
90,189
90,357
90,226
90,100
90,128
90,207
90,289
90,402
90,291
90,188
90,160
90,113
90,359
90,329
90,447
90,340
90,293
90,344
90,439
90,331
4,77
4,110
4,84
4,46
4,170
4,156
4,161
4,279
4,186
4,31
4,319
4,244
4,32
4,29
4,119
4,158
4,296
4,196
4,411
4,66
4,5
4,231
4,98
4,463
4,239
4,34
4,309
4,299
4,274
4,295
4,38
4,227
4,59
4,149
4,18
4,402
4,175
4,212
4,385
4,230
4,42
4,426
4,44
4,405
4,447
4,449
4,277
4,453
4,293
4,259
4,464
78,77
78,110
78,53
78,152
78,194
78,205
78,224
78,240
78,346
78,170
78,125
78,151
78,71
78,456
78,161
78,181
78,218
78,358
78,263
78,95
78,202
78,105
78,241
78,124
78,129
78,138
78,150
78,60
78,118
78,238
78,146
78,102
78,490
78,79
78,389
78,368
78,330
78,169
78,373
78,68
78,489
78,189
78,357
78,226
78,140
78,462
78,369
78,429
78,374
78,451
78,340
78,382
78,437
78,331
78,458
3,48
3,23
3,2
3,22
3,8
3,10
3,298
3,255
3,6
3,250
3,1
3,191
3,417
3,25
3,43
3,248
3,273
3,299
3,274
3,246
3,413
3,418
3,216
3,404
3,466
3,347
3,302
3,324
3,426
3,395
3,360
3,225
3,320
3,412
3,321
3,259
3,452
3,215
3,211
3,314
77,110
77,92
77,184
77,139
77,86
77,194
77,205
77,224
77,240
77,125
77,335
77,261
77,325
77,297
77,244
77,358
77,371
77,284
77,202
77,108
77,111
77,201
77,214
77,171
77,292
77,150
77,118
77,463
77,307
77,183
77,107
77,114
77,141
77,239
77,58
77,146
77,35
77,375
77,102
77,483
77,381
77,306
77,490
77,57
77,79
77,288
77,235
77,137
77,476
77,488
77,406
77,304
77,143
77,407
77,489
77,455
77,89
77,264
77,328
77,233
77,168
77,482
77,245
77,484
77,340
77,332
77,493
77,494
77,474
77,439
110,53
110,92
110,184
110,67
110,24
110,112
110,170
110,125
110,93
110,151
110,71
110,156
110,132
110,122
110,161
110,165
110,218
110,95
110,172
110,185
110,284
110,202
110,105
110,74
110,196
110,241
110,166
110,341
110,61
110,111
110,201
110,278
110,138
110,231
110,163
110,98
110,118
110,190
110,222
110,307
110,141
110,375
110,381
110,79
110,137
110,330
110,169
110,208
110,373
110,103
110,189
110,264
110,485
110,212
110,409
110,282
110,113
110,482
110,245
110,135
110,428
110,332
110,243
110,303
110,331
110,446
130,86
130,194
130,363
130,85
130,116
130,151
130,71
130,156
130,161
130,133
130,261
130,371
130,95
130,284
130,202
130,127
130,196
130,198
130,201
130,129
130,278
130,150
130,222
130,463
130,375
130,306
130,117
130,299
130,431
130,488
130,373
130,334
130,159
130,100
130,140
130,97
130,247
130,233
130,289
130,91
130,374
130,409
130,113
130,383
130,484
130,340
130,449
130,338
130,267
130,364
130,361
40,152
40,92
40,41
40,24
40,36
40,93
40,156
40,13
40,69
40,161
40,181
40,186
40,31
40,297
40,15
40,319
40,96
40,284
40,101
40,450
40,87
40,171
40,231
40,146
40,30
40,34
40,137
40,295
40,38
40,313
40,366
40,268
40,216
40,404
40,18
40,419
40,302
40,385
40,42
40,443
40,451
40,294
40,386
40,360
40,187
53,72
53,92
53,184
53,139
53,84
53,67
53,86
53,194
53,224
53,116
53,206
53,37
53,93
53,151
53,71
53,132
53,456
53,69
53,122
53,161
53,279
53,133
53,165
53,186
53,82
53,261
53,358
53,119
53,148
53,371
53,263
53,96
53,95
53,284
53,202
53,105
53,182
53,74
53,153
53,196
53,241
53,176
53,61
53,75
53,111
53,214
53,115
53,459
53,80
53,300
53,98
53,60
53,463
53,183
53,88
53,239
53,58
53,146
53,381
53,270
53,490
53,471
53,57
53,309
53,79
53,476
53,169
53,431
53,143
53,373
53,56
53,73
53,155
53,189
53,100
53,365
53,481
53,485
53,207
53,328
53,233
53,495
53,445
53,409
53,451
53,252
53,199
53,383
53,388
53,434
53,352
53,316
53,408
53,382
53,338
53,339
53,376
53,446
152,99
152,240
152,93
152,181
152,297
152,32
152,358
152,263
152,96
152,157
152,198
152,398
152,111
152,87
152,118
152,463
152,141
152,333
152,79
152,317
152,304
152,143
152,226
152,328
152,18
152,419
152,318
152,310
152,382
152,446
72,92
72,184
72,86
72,194
72,363
72,99
72,37
72,93
72,71
72,156
72,122
72,161
72,165
72,186
72,296
72,127
72,105
72,153
72,166
72,101
72,106
72,201
72,214
72,115
72,138
72,300
72,150
72,163
72,183
72,107
72,58
72,197
72,146
72,375
72,381
72,306
72,309
72,79
72,117
72,354
72,330
72,373
72,68
72,155
72,189
72,159
72,328
72,168
72,289
72,409
72,451
72,134
72,188
72,482
72,449
72,187
72,493
72,434
72,339
72,217
19,23
19,2
19,36
19,22
19,28
19,49
19,13
19,7
19,15
19,465
19,32
19,29
19,9
19,45
19,234
19,417
19,35
19,34
19,21
19,273
19,12
19,272
19,210
19,253
19,290
19,460
19,38
19,246
19,355
19,413
19,418
19,268
19,149
19,264
19,47
19,315
19,466
19,262
19,175
19,44
19,467
19,399
19,386
19,377
19,312
19,421
19,412
19,293
19,215
19,314
92,86
92,194
92,205
92,99
92,112
92,116
92,132
92,69
92,122
92,161
92,133
92,186
92,177
92,261
92,297
92,244
92,218
92,119
92,148
92,158
92,95
92,172
92,127
92,74
92,108
92,153
92,70
92,196
92,198
92,166
92,265
92,178
92,124
92,75
92,201
92,65
92,129
92,231
92,300
92,98
92,190
92,131
92,195
92,183
92,204
92,88
92,58
92,102
92,381
92,490
92,333
92,79
92,457
92,208
92,154
92,143
92,401
92,326
92,155
92,159
92,281
92,100
92,97
92,305
92,461
92,233
92,289
92,212
92,213
92,245
92,242
92,258
92,187
92,428
92,388
92,387
92,378
92,316
92,436
92,303
92,344
92,217
92,267
92,458
16,285
16,48
16,36
16,46
16,28
16,7
16,31
16,10
16,298
16,319
16,255
16,465
16,32
16,236
16,29
16,9
16,45
16,6
16,250
16,249
16,234
16,442
16,417
16,30
16,286
16,0
16,273
16,272
16,253
16,430
16,38
16,362
16,313
16,275
16,410
16,268
16,220
16,216
16,466
16,347
16,324
16,467
16,390
16,380
16,386
16,312
16,360
16,421
16,440
16,454
16,452
16,219
16,211
16,314
184,67
184,205
184,99
184,112
184,174
184,93
184,156
184,122
184,133
184,119
184,296
184,283
184,202
184,127
184,74
184,153
184,63
184,196
184,176
184,106
184,111
184,54
184,201
184,87
184,214
184,115
184,278
184,80
184,300
184,163
184,126
184,307
184,88
184,239
184,58
184,102
184,306
184,270
184,79
184,271
184,117
184,330
184,327
184,167
184,373
184,103
184,448
184,477
184,128
184,485
184,207
184,168
184,213
184,445
184,409
184,252
184,282
184,160
184,245
184,383
184,340
184,378
184,478
184,458
139,86
139,496
139,224
139,180
139,99
139,112
139,240
139,346
139,206
139,151
139,71
139,156
139,132
139,335
139,181
139,325
139,358
139,119
139,263
139,95
139,284
139,105
139,63
139,198
139,1
139,176
139,111
139,87
139,129
139,278
139,171
139,300
139,150
139,118
139,131
139,107
139,146
139,375
139,356
139,306
139,270
139,57
139,235
139,476
139,389
139,304
139,143
139,401
139,489
139,155
139,226
139,100
139,140
139,462
139,481
139,328
139,18
139,409
139,199
139,188
139,482
139,397
139,383
139,258
139,308
139,388
139,332
139,434
139,352
139,382
139,479
139,439
139,458
41,48
41,24
41,2
41,22
41,49
41,156
41,14
41,51
41,161
41,7
41,319
41,255
41,465
41,32
41,29
41,158
41,45
41,250
41,265
41,1
41,171
41,35
41,43
41,34
41,0
41,301
41,288
41,38
41,73
41,313
41,413
41,268
41,216
41,264
41,404
41,315
41,466
41,262
41,175
41,212
41,385
41,396
41,42
41,399
41,395
41,386
41,312
41,360
41,421
41,225
41,384
41,428
41,293
41,322
41,219
41,215
285,48
285,24
285,23
285,49
285,37
285,133
285,186
285,263
285,196
285,463
285,146
285,299
285,246
285,264
285,251
285,212
285,213
285,266
285,256
285,225
285,440
285,384
285,308
285,393
84,224
84,180
84,363
84,116
84,170
84,206
84,156
84,69
84,122
84,161
84,181
84,279
84,186
84,121
84,229
84,358
84,148
84,263
84,96
84,95
84,172
84,185
84,284
84,203
84,157
84,111
84,87
